Step 46/300: V_g=-0.0795987: 13 iterations, reldev=0.800812, converged!
Step 47/300: V_g=-0.0769231: 13 iterations, reldev=0.853726, converged!
Step 48/300: V_g=-0.0742475: 13 iterations, reldev=0.84048, converged!
Step 49/300: V_g=-0.0715719: 13 iterations, reldev=0.830512, converged!
Step 50/300: V_g=-0.0688963: 13 iterations, reldev=0.805777, converged!
Step 51/300: V_g=-0.0662207: 13 iterations, reldev=0.826919, converged!
Step 52/300: V_g=-0.0635452: 13 iterations, reldev=0.856732, converged!
Step 53/300: V_g=-0.0608696: 13 iterations, reldev=0.827159, converged!
Step 54/300: V_g=-0.058194: 13 iterations, reldev=0.854438, converged!
Step 55/300: V_g=-0.0555184: 13 iterations, reldev=0.791491, converged!
Step 56/300: V_g=-0.0528428: 13 iterations, reldev=0.736961, converged!
Step 57/300: V_g=-0.0501672: 13 iterations, reldev=0.73931, converged!
Step 58/300: V_g=-0.0474916: 13 iterations, reldev=0.722093, converged!
Step 59/300: V_g=-0.0448161: 13 iterations, reldev=0.714197, converged!
Step 60/300: V_g=-0.0421405: 13 iterations, reldev=0.787831, converged!
Step 61/300: V_g=-0.0394649: 13 iterations, reldev=0.766795, converged!
Step 62/300: V_g=-0.0367893: 13 iterations, reldev=0.74802, converged!
Step 63/300: V_g=-0.0341137: 13 iterations, reldev=0.752118, converged!
Step 64/300: V_g=-0.0314381: 13 iterations, reldev=0.697479, converged!
Step 65/300: V_g=-0.0287625: 13 iterations, reldev=0.721972, converged!
Step 66/300: V_g=-0.026087: 13 iterations, reldev=0.658809, converged!
Step 67/300: V_g=-0.0234114: 13 iterations, reldev=0.697458, converged!
Step 68/300: V_g=-0.0207358: 13 iterations, reldev=0.704645, converged!
Step 69/300: V_g=-0.0180602: 13 iterations, reldev=0.67919, converged!
Step 70/300: V_g=-0.0153846: 13 iterations, reldev=0.662052, converged!
Step 71/300: V_g=-0.012709: 13 iterations, reldev=0.702183, converged!
Step 72/300: V_g=-0.0100334: 13 iterations, reldev=0.544064, converged!
Step 73/300: V_g=-0.00735786: 13 iterations, reldev=0.617019, converged!
Step 74/300: V_g=-0.00468227: 13 iterations, reldev=0.622802, converged!
Step 75/300: V_g=-0.00200669: 13 iterations, reldev=0.626278, converged!
Step 76/300: V_g=0.000668896: 13 iterations, reldev=0.608356, converged!
Step 77/300: V_g=0.00334448: 13 iterations, reldev=0.6102, converged!
Step 78/300: V_g=0.00602007: 13 iterations, reldev=0.571233, converged!
Step 79/300: V_g=0.00869565: 13 iterations, reldev=0.567846, converged!
Step 80/300: V_g=0.0113712: 13 iterations, reldev=0.545704, converged!
Step 81/300: V_g=0.0140468: 13 iterations, reldev=0.577401, converged!
